CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M0640","Number of trace files (total)","erphana02","40","<= 200",""," 2119087"
"M0641","Number of trace files / day (short-term)","erphana02","8","<= 30",""," 2119087"
"M0642","Size of trace files (GB, total)","erphana02","0.28","<= 6.00",""," 2119087"
"M0643","Size of trace files / day (GB, short-term)","erphana02","0.02","<= 1.00",""," 2119087"
"M0644","Size of largest trace file (MB)","erphana02","9.95","<= 50.00",""," 2119087"
"M0645","Number of OOM trace files (short-term)","erphana02","0","0",""," 1999997"
"M0646","Number of statement OOM trace files (short-term)","erphana02","0","0",""," 1999997"
"M0650","Number of crash dumps (short-term)","erphana02","0","0",""," 2177064"
"M0652","Number of page dumps (short-term)","erphana02","0","0",""," 1977242"
"M0655","Number of RTE dumps (short-term)","erphana02","0","0",""," 2119087"
"M0658","Time since last dump (days)","","n/a",">= 7.00",""," 2119087"
"M0661","Heap allocators with allocation stack trace","","none","none",""," 2222218"
"M0662","Heap allocators with other memory traces","","0","0",""," 2222218"
"M0663","Time since activated memory trace (days)","","n/a",">= 7.00",""," 2222218"
"M0670","Time since last trace file modification (s)","erphana02","43","<= 600",""," 2119087"
"","","","","","",""
"****","STATISTICS SERVER","","","","",""
"","","","","","",""
"M0710","Open alerts (high priority)","","0","0",""," 2445867"
"M0711","Open alerts (error state)","","0","0",""," 2445867"
"M0712","Internal statistics server errors (short-term)","","0","0",""," 2147247"
"M0715","Number of actions not executed as expected","","40","0","X"," 2147247"
"M0716","Number of statistics server worker threads","","5",">= 1",""," 2147247"
"M0717","Number of disabled actions","","0","0",""," 2113228"
"M0718","Number of relevant inactive actions","","0","0",""," 2147247"
"M0719","Number of actions with unknown state","","0","0",""," 2147247"
"M0720","Events not acknowledged since >= 1800 s","erphana02","3","<= 100",""," 2126236"
"M0730","Pending e-mails older than 3 days","","0","<= 100",""," 2133799"
"M0735","Alerts older than 42 days","","0","<= 10000",""," 2170779"
"M0736","Alerts reported frequently","","0","0",""," 2147247"
"M0740","Time since statistics server run (s)","","132","<= 3600",""," 2147247"
"M0744","Total SQL cache share of statistics server (%)","erphana02","66.00","<= 20.00","X"," 2124112"
"M0745","Total size of statistics server tables (GB)","","0.13","<= 30.00",""," 2147247"
"M0746","Total memory share of statistics server (%)","","0.02","<= 2.00",""," 2147247"
"M0747","Number of zero entries in HOST_SQL_PLAN_CACHE","","0","<= 1000000",""," 2084747"
"M0748","History of M_CS_UNLOADS collected","","no","no",""," 2147247"
"M0749","History of M_RECORD_LOCKS collected","","no","no",""," 2147247"
"M0750","Stat. server tables with retention < 42 days","","0","0",""," 2147247"
"M0751","Historic thread samples save interval (s)","","600","<= 600",""," 2147247"
"M0755","Embedded statistics server used","","yes","yes",""," 2092033"
"M0760","Status of embedded statistics server migration","","done (okay)","done (okay)",""," 2092033"
"M0770","Number of stat. server tables not on master","","0","0",""," 2091256"
"M0780","Unknown entries in HOST_OBJECT_LOCK_STATISTICS","","0","<= 1000000",""," 2147247"
"M0781","Orphan entry for alert 32","","no","no",""," 2803904"
"","","","","","",""
"****","TRANSACTIONS AND THREADS","","","","",""
"","","","","","",""
"M0810","MVCC versions in row store","erphana02","417","<= 5000000",""," 2169283"
"M0811","Max. MVCC versions in row store (short-term)","erphana02","1769","<= 10000000",""," 2169283"
"M0812","Max. versions per record in row store","erphana02","172","<= 30000",""," 2169283"
"M0813","Max. versions per table in row store","","324","<= 1000000",""," 2169283"
"M0815","Age of transaction blocking row store MVCC (s)","","78","<= 10800",""," 2169283"
"M0830","Active commit ID range","erphana02","177","<= 3000000",""," 2169283"
"M0832","Max. active commit ID range (short-term)","erphana02","2820","<= 8000000",""," 2169283"
"M0841","Oldest active update transaction current (h)","","0.00","<= 3.00",""," 2169283"
"M0842","Oldest active update transaction (h, long-term)","","0.31","<= 24.00",""," 2169283"
"M0843","Longest running statement current (h)","","0.02","<= 12.00",""," 2169283"
"M0844","Longest running statement (h, long-term)","","0.00","<= 24.00",""," 2169283"
"M0846","Table MVCC snapshot range","","0","<= 8000000",""," 2169283"
"M0849","Orphan disk LOBs","","225973","<= 15000000",""," 2220627"
"M0851","Time since last CS LOB garb. coll. (days)","","0.00","<= 1.20",""," 2220627"
