,date,kosdaq
256,2022.03.07,881.0
257,2022.03.04,900.0
258,2022.03.03,912.0
259,2022.03.02,895.0
260,2022.02.28,881.0
261,2022.02.25,872.0
262,2022.02.24,848.0
263,2022.02.23,877.0
264,2022.02.22,868.0
265,2022.02.21,884.0
266,2022.02.18,881.0
267,2022.02.17,874.0
268,2022.02.16,878.0
269,2022.02.15,839.0
270,2022.02.14,852.0
271,2022.02.11,877.0
272,2022.02.10,895.0
273,2022.02.09,910.0
274,2022.02.08,895.0
275,2022.02.07,899.0
276,2022.02.04,902.0
277,2022.02.03,891.0
278,2022.01.28,872.0
279,2022.01.27,849.0
280,2022.01.26,882.0
281,2022.01.25,889.0
282,2022.01.24,915.0
283,2022.01.21,942.0
284,2022.01.20,958.0
285,2022.01.19,933.0
286,2022.01.18,943.0
287,2022.01.17,957.0
288,2022.01.14,971.0
289,2022.01.13,983.0
290,2022.01.12,991.0
291,2022.01.11,969.0
292,2022.01.10,980.0
293,2022.01.07,995.0
294,2022.01.06,980.0
295,2022.01.05,1009.0
296,2022.01.04,1031.0
297,2022.01.03,1037.0
298,2021.12.30,1033.0
299,2021.12.29,1028.0
300,2021.12.28,1027.0
301,2021.12.27,1011.0
302,2021.12.24,1007.0
303,2021.12.23,1003.0
304,2021.12.22,1000.0
305,2021.12.21,996.0
306,2021.12.20,990.0
307,2021.12.17,1001.0
308,2021.12.16,1007.0
309,2021.12.15,1003.0
310,2021.12.14,1002.0
311,2021.12.13,1005.0
312,2021.12.10,1011.0
313,2021.12.09,1022.0
314,2021.12.08,1006.0
315,2021.12.07,996.0
316,2021.12.06,991.0
317,2021.12.03,998.0
318,2021.12.02,977.0
319,2021.12.01,977.0
320,2021.11.30,965.0
321,2021.11.29,992.0
322,2021.11.26,1005.0
323,2021.11.25,1015.0
324,2021.11.24,1020.0
325,2021.11.23,1013.0
326,2021.11.22,1032.0
327,2021.11.19,1041.0
328,2021.11.18,1032.0
329,2021.11.17,1031.0
330,2021.11.16,1035.0
331,2021.11.15,1029.0
332,2021.11.12,1009.0
333,2021.11.11,992.0
334,2021.11.10,987.0
335,2021.11.09,1008.0
336,2021.11.08,1002.0
337,2021.11.05,1001.0
338,2021.11.04,1001.0
339,2021.11.03,1005.0
340,2021.11.02,1009.0
341,2021.11.01,998.0
342,2021.10.29,992.0
343,2021.10.28,1000.0
344,2021.10.27,1008.0
345,2021.10.26,1011.0
346,2021.10.25,994.0
347,2021.10.22,995.0
348,2021.10.21,993.0
349,2021.10.20,1001.0
350,2021.10.19,1005.0
351,2021.10.18,993.0
352,2021.10.15,990.0
