,date,kosdaq
950,2017.09.15,671.0
951,2017.09.14,665.0
952,2017.09.13,659.0
953,2017.09.12,660.0
954,2017.09.11,656.0
955,2017.09.08,654.0
956,2017.09.07,658.0
957,2017.09.06,652.0
958,2017.09.05,648.0
959,2017.09.04,650.0
960,2017.09.01,661.0
961,2017.08.31,657.0
962,2017.08.30,655.0
963,2017.08.29,653.0
964,2017.08.28,652.0
965,2017.08.25,650.0
966,2017.08.24,647.0
967,2017.08.23,643.0
968,2017.08.22,644.0
969,2017.08.21,640.0
970,2017.08.18,643.0
971,2017.08.17,642.0
972,2017.08.16,634.0
973,2017.08.14,629.0
974,2017.08.11,628.0
975,2017.08.10,640.0
976,2017.08.09,642.0
977,2017.08.08,651.0
978,2017.08.07,648.0
979,2017.08.04,641.0
980,2017.08.03,643.0
981,2017.08.02,657.0
982,2017.08.01,653.0
983,2017.07.31,650.0
984,2017.07.28,652.0
985,2017.07.27,666.0
986,2017.07.26,667.0
987,2017.07.25,670.0
988,2017.07.24,677.0
989,2017.07.21,676.0
990,2017.07.20,676.0
991,2017.07.19,671.0
992,2017.07.18,664.0
993,2017.07.17,659.0
994,2017.07.14,654.0
995,2017.07.13,652.0
996,2017.07.12,651.0
997,2017.07.11,656.0
998,2017.07.10,657.0
999,2017.07.07,663.0
1000,2017.07.06,663.0
1001,2017.07.05,661.0
1002,2017.07.04,656.0
1003,2017.07.03,660.0
1004,2017.06.30,669.0
1005,2017.06.29,668.0
1006,2017.06.28,665.0
1007,2017.06.27,672.0
1008,2017.06.26,668.0
1009,2017.06.23,668.0
1010,2017.06.22,663.0
1011,2017.06.21,665.0
1012,2017.06.20,669.0
1013,2017.06.19,675.0
1014,2017.06.16,670.0
1015,2017.06.15,669.0
1016,2017.06.14,671.0
1017,2017.06.13,669.0
1018,2017.06.12,664.0
1019,2017.06.09,674.0
1020,2017.06.08,669.0
1021,2017.06.07,666.0
1022,2017.06.05,662.0
1023,2017.06.02,658.0
1024,2017.06.01,653.0
1025,2017.05.31,652.0
1026,2017.05.30,649.0
1027,2017.05.29,642.0
1028,2017.05.26,646.0
1029,2017.05.25,643.0
1030,2017.05.24,646.0
1031,2017.05.23,644.0
1032,2017.05.22,642.0
1033,2017.05.19,642.0
1034,2017.05.18,638.0
1035,2017.05.17,640.0
1036,2017.05.16,639.0
1037,2017.05.15,645.0
1038,2017.05.12,643.0
1039,2017.05.11,647.0
1040,2017.05.10,642.0
1041,2017.05.08,643.0
1042,2017.05.04,635.0
1043,2017.05.02,626.0
1044,2017.04.28,628.0
1045,2017.04.27,631.0
1046,2017.04.26,635.0
1047,2017.04.25,632.0
1048,2017.04.24,626.0
1049,2017.04.21,634.0
1050,2017.04.20,635.0
1051,2017.04.19,635.0
1052,2017.04.18,634.0
1053,2017.04.17,629.0
1054,2017.04.14,618.0
1055,2017.04.13,623.0
1056,2017.04.12,621.0
1057,2017.04.11,621.0
1058,2017.04.10,619.0
1059,2017.04.07,633.0
1060,2017.04.06,630.0
1061,2017.04.05,630.0
1062,2017.04.04,625.0
1063,2017.04.03,628.0
1064,2017.03.31,619.0
